Time*,C-2DPS-2 Instron Force (kN),C-2DPS-2 Extensometer (mm/mm)
363.5,6.688540637,0.002642668
364,6.692027509,0.002669401
364.5,6.695542991,0.002688757
365,6.69825381,0.002713255
365.5,6.699798763,0.002743966
366,6.70357889,0.002766899
366.5,6.705907047,0.002784646
367,6.709526241,0.002813301
367.5,6.711904467,0.0028399
368,6.714136065,0.00286176
368.5,6.716911257,0.002881742
369,6.71931094,0.002912677
369.5,6.722315015,0.002934582
370,6.724843444,0.002955458
370.5,6.726960601,0.002983756
371,6.728841724,0.003008253
371.5,6.731917324,0.003026269
372,6.734971466,0.003052778
372.5,6.73782176,0.00308179
373,6.739499035,0.00309994
373.5,6.740793648,0.003121532
374,6.743361416,0.003152914
374.5,6.74621171,0.003173388
375,6.748815241,0.003191627
375.5,6.751318637,0.003221399
376,6.752141181,0.003244779
376.5,6.754862729,0.003263465
377,6.757090751,0.003291092
377.5,6.759479705,0.003315009
378,6.761918727,0.003332845
378.5,6.762712661,0.003360338
379,6.76524109,0.003385551
379.5,6.767869655,0.003402225
380,6.770569746,0.0034286
380.5,6.772540276,0.003454349
381,6.773427193,0.003472991
381.5,6.775158112,0.003496147
382,6.77836961,0.003524355
382.5,6.781041091,0.003540851
383,6.782582467,0.003564633
383.5,6.784198945,0.003592572
384,6.786040728,0.003611124
384.5,6.788107818,0.003633074
385,6.790553992,0.003661729
385.5,6.792563861,0.003677733
386,6.793711847,0.00370147
386.5,6.795482105,0.003729097
387,6.797939008,0.003746174
387.5,6.800624794,0.003769285
388,6.801937288,0.003797806
388.5,6.803324884,0.003812782
389,6.804944939,0.003838755
389.5,6.807437605,0.003864101
390,6.809540457,0.003884129
390.5,6.81172914,0.003905676
391,6.812830634,0.003933213
391.5,6.814143128,0.003948457
392,6.816238827,0.003974608
392.5,6.818910308,0.003997854
393,6.820015378,0.004015333
393.5,6.822057433,0.004043273
394,6.822990842,0.004064775
394.5,6.825247474,0.004080064
395,6.827707954,0.004109613
395.5,6.829395958,0.004128299
396,6.830783554,0.00414703
396.5,6.831699081,0.004173986
397,6.834191748,0.004191867
397.5,6.836337515,0.00421337
398,6.83871574,0.004241309
398.5,6.83963842,0.004254676
399,6.840425202,0.004281364
399.5,6.842724749,0.004303492
400,6.844977805,0.004318646
400.5,6.847105691,0.004345871
401,6.847660014,0.004362054
401.5,6.849548289,0.004385121
402,6.851554582,0.004410289
402.5,6.852842042,0.004422001
403,6.855384776,0.004452042
403.5,6.857788036,0.004469208
404,6.858016918,0.004487447
404.5,6.860316465,0.004512615
405,6.862244079,0.004524774
405.5,6.864361236,0.004553429
406,6.865863273,0.004571445
406.5,6.866367529,0.004591114
407,6.86869211,0.004614137
407.5,6.87032647,0.004626788
408,6.872307728,0.004654012
408.5,6.874253224,0.004668094
409,6.874646614,0.004692815
409.5,6.876860331,0.00470864
410,6.878770064,0.004727236
410.5,6.880704831,0.004750929
411,6.882625293,0.004762954
411.5,6.882918548,0.004792861
412,6.884746026,0.004801936
412.5,6.887027692,0.004828356
413,6.888569068,0.004842169
413.5,6.89076848,0.004862867
414,6.891269159,0.004885129
414.5,6.892778348,0.004898853
415,6.894384098,0.004923172
415.5,6.896937561,0.004932649
416,6.898400259,0.004960991
416.5,6.898958158,0.004971228
417,6.900506687,0.004998184
417.5,6.902198267,0.005010254
418,6.904422713,0.005033902
418.5,6.906715107,0.005047224
419,6.907276583,0.005068771
419.5,6.9081635,0.005086027
420,6.910359336,0.005102388
420.5,6.912558747,0.005122773
421,6.914243174,0.005137167
421.5,6.91533394,0.0051601
422,6.915434075,0.005171991
422.5,6.918087674,0.005190633
423,6.919296457,0.005206771
423.5,6.921435071,0.005231358
424,6.922944261,0.005240388
424.5,6.923484279,0.005266807
425,6.925669386,0.005275301
425.5,6.926967575,0.005302615
426,6.92922063,0.005309186
426.5,6.930894329,0.005337752
427,6.931627466,0.005344726
427.5,6.932535841,0.005371458
428,6.934577896,0.005379281
428.5,6.9364769,0.005406819
429,6.937578394,0.005412809
429.5,6.938440277,0.005441911
430,6.939788535,0.005448438
430.5,6.942020133,0.005475617
431,6.943464949,0.005482904
431.5,6.945403293,0.005508609
432,6.945499852,0.005515404
432.5,6.947427466,0.005542986
433,6.94886513,0.005548529
433.5,6.951100305,0.005576021
434,6.953410581,0.005584113
434.5,6.953703836,0.005609683
435,6.954533533,0.005615986
435.5,6.95665069,0.005644418
436,6.958875135,0.0056509
436.5,6.960073189,0.005677141
437,6.961260513,0.005684517
437.5,6.961707548,0.005709148
438,6.964024977,0.005719341
438.5,6.965548472,0.005741871
439,6.967590527,0.00575041
439.5,6.968334393,0.005776382
440,6.969564633,0.005785949
440.5,6.971749739,0.005808033
441,6.97358437,0.005820326
441.5,6.97552629,0.005841828
442,6.975894646,0.005853585
442.5,6.976334529,0.005871556
443,6.978637652,0.005887113
443.5,6.981026607,0.005906246
444,6.983215289,0.005921669
444.5,6.983787494,0.005937002
445,6.983980613,0.005956225
445.5,6.986487585,0.005971558
446,6.988218503,0.005990423
446.5,6.990178304,0.006002359
447,6.991390663,0.006023906
447.5,6.991944986,0.006034769
448,6.994326788,0.00605721
448.5,6.995868164,0.006070084
449,6.997852999,0.006092749
449.5,6.999583918,0.006101869
450,7.000131089,0.006126455
450.5,7.001819092,0.006134413
451,7.003542859,0.006160073
451.5,7.005652863,0.006168074
